[32672:25224:0205/172427.235:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[32672:29748:0205/172427.314:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[32672:25224:0205/172427.336:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[32672:25224:0205/172431.754:WARNING:external_registry_loader_win.cc(232)] Error observing HKLM: 5
[22712:22632:0205/172433.586:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-0016D2E2F263E18C7C4E206F9C6E870F will be ignored
[32672:2684:0205/181544.497:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=57})
[32672:2684:0205/181547.159:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=100})
[32672:2684:0205/181556.509:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=47})
[32672:2684:0205/181557.520:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=46})
[32672:2684:0205/181558.512:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=47})
[32672:2684:0205/181559.506:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=46})
[32672:2684:0205/181600.511:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=45})
[32672:2684:0205/181601.509:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=43})
[32672:2684:0205/181602.524:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=41})
[32672:2684:0205/181603.509:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=42})
